ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,form,route,strength,strength_uom,package_size,manufacturer,startdate,enddate,status
00002035102,darvocet-n 50,dextropropoxyphene,propoxyphene,NA,tablet,oral,50-325,mg,100,xanodyne pharm,12/26/72,12/26/72,inactive
00002035103,darvocet-n 50,dextropropoxyphene,propoxyphene,NA,tablet,oral,50-325,mg,500,eli lilly & co.,NA,NA,inactive
00002035133,darvocet-n 50,dextropropoxyphene,propoxyphene,NA,tablet,oral,50-325,mg,100,eli lilly & co.,NA,NA,inactive
00002035143,darvocet-n 50,dextropropoxyphene,propoxyphene,NA,tablet,oral,50-325,mg,500,eli lilly & co.,NA,NA,inactive
00002035151,darvocet-n 50,dextropropoxyphene,propoxyphene,NA,tablet,oral,50-325,mg,1000,eli lilly & co.,NA,NA,inactive
00002035302,darvon-n,dextropropoxyphene,propoxyphene,NA,tablet,oral,100,mg,100,aaipharma,9/30/90,9/30/90,inactive
00002035303,darvon-n,dextropropoxyphene,propoxyphene,NA,tablet,oral,100,mg,500,aaipharma,9/30/90,9/30/90,inactive
00002035329,darvon-n,dextropropoxyphene,propoxyphene,NA,tablet,oral,100,mg,750,eli lilly & co.,NA,NA,inactive
00002035333,darvon-n,dextropropoxyphene,propoxyphene,NA,tablet,oral,100,mg,100,aaipharma,9/30/90,9/30/90,inactive
00002035343,darvon-n,dextropropoxyphene,propoxyphene,NA,tablet,oral,100,mg,500,eli lilly & co.,NA,NA,inactive
00002035351,darvon-n,dextropropoxyphene,propoxyphene,NA,tablet,oral,100,mg,1000,eli lilly & co.,NA,NA,inactive
00002035402,darvon-n w/a.s.a.,aspirin; propoxyphene napsylate,propoxyphene,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
00002035403,darvon-n w/a.s.a.,aspirin; propoxyphene napsylate,propoxyphene,NA,NA,NA,NA,NA,500,NA,NA,NA,NA
00002035429,darvon-n w/a.s.a.,aspirin; propoxyphene napsylate,propoxyphene,NA,NA,NA,NA,NA,750,NA,NA,NA,inactive
00002036302,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,100,aaipharma,3/6/74,3/6/74,inactive
00002036303,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,500,aaipharma,3/6/74,3/6/74,inactive
00002036329,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,750,eli lilly & co.,NA,NA,inactive
00002036333,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,100,aaipharma,3/6/74,3/6/74,inactive
00002036343,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,500,eli lilly & co.,3/6/74,3/6/74,inactive
